uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
5058982,Chicago,13B,simple assault,assault offenses,persons,2018-01-01T05:45:00Z,-87.622407,41.792445,street,street,1.70314E+14
5059399,Chicago,13B,simple assault,assault offenses,persons,2018-01-01T20:15:00Z,-87.626852,41.886864,other retail,retail,1.70313E+14
5059409,Chicago,290,destruction of property,destruction of property,property,2018-01-01T20:45:00Z,-87.622316,41.886229,vehicle parking,open space,1.70313E+14
5059551,Chicago,23A,pocket-picking,larceny/theft offenses,property,2018-01-02T02:00:00Z,-87.625513,41.768789,rapid transit,transportation,1.70317E+14
5059552,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-01-02T02:00:00Z,-87.748338,41.994207,street,street,1.70311E+14
5059613,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-02T04:30:00Z,-87.736298,41.978407,residence,residence,1.70311E+14
5059618,Chicago,13B,simple assault,assault offenses,persons,2018-01-02T04:55:00Z,-87.613149,41.6546,residence,residence,1.70315E+14
5059677,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-02T10:30:00Z,-87.67401,41.827918,street,street,1.70316E+14
5059730,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-01-02T14:00:00Z,-87.582424,41.72967,residence,residence,1.70315E+14
5059733,Chicago,90A,bad checks,bad checks,property,2018-01-02T14:00:00Z,-87.642631,41.929218,finance,commercial,1.70311E+14
5059829,Chicago,90Z,all other offenses,all other offenses,other,2018-01-02T17:15:00Z,-87.629222,41.875056,restaurant,leisure,1.70318E+14
5059935,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-02T21:00:00Z,-87.673274,41.755182,residence,residence,1.70317E+14
5060026,Chicago,290,destruction of property,destruction of property,property,2018-01-03T00:00:00Z,-87.631532,41.906519,street,street,1.70311E+14
5060045,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-01-03T00:20:00Z,-87.786766,41.963927,street,street,1.70312E+14
5060061,Chicago,90Z,all other offenses,all other offenses,other,2018-01-03T00:45:00Z,-87.644614,41.773068,restaurant,leisure,1.70317E+14
5060106,Chicago,90Z,all other offenses,all other offenses,other,2018-01-03T02:13:00Z,-87.615515,41.775851,other,other,1.70314E+14
5060113,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T02:33:00Z,-87.688581,41.69308,residence,residence,1.70318E+14
5060249,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T13:53:00Z,-87.593671,41.769897,residence,residence,1.70318E+14
5060284,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T15:15:00Z,-87.696287,41.910226,street,street,1.70312E+14
5060325,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T16:30:00Z,-87.749312,41.896808,residence,residence,1.70313E+14
5060406,Chicago,64A,human trafficking,human trafficking,persons,2018-01-03T18:42:00Z,-87.665619,41.740598,residence,residence,1.70317E+14
5060464,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-03T20:22:00Z,-87.618218,41.75399,residence,residence,1.70317E+14
5060497,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-01-03T21:08:00Z,-87.722188,41.757741,other,other,1.70317E+14
5060523,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T22:11:00Z,-87.686254,41.87523,rapid transit,transportation,1.70313E+14
5060573,Chicago,13B,simple assault,assault offenses,persons,2018-01-03T23:35:00Z,-87.662704,41.722485,supermarket,retail,1.70317E+14
5060709,Chicago,12A,personal robbery,robbery,property,2018-01-04T03:57:00Z,-87.627609,41.874415,rapid transit,transportation,1.70318E+14
5060766,Chicago,13B,simple assault,assault offenses,persons,2018-01-04T07:20:00Z,-87.616983,41.832329,street,street,1.70314E+14
5060984,Chicago,90Z,all other offenses,all other offenses,other,2018-01-04T18:00:00Z,-87.642032,41.885702,other transportation,transportation,1.70313E+14
5061120,Chicago,13B,simple assault,assault offenses,persons,2018-01-04T22:07:00Z,-87.741996,41.916979,other,other,1.70312E+14
5061200,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-01-05T00:15:00Z,-87.675541,41.892293,street,street,1.70312E+14
5061247,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-05T01:40:00Z,-87.628077,41.892003,street,street,1.70311E+14
5061270,Chicago,13A,aggravated assault,assault offenses,persons,2018-01-05T02:45:00Z,-87.729154,41.879717,street,street,1.70313E+14
5061315,Chicago,26A,false pretenses,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-01-05T04:30:00Z,-87.627029,41.880775,hotel,hotel,1.70313E+14
5061365,Chicago,13B,simple assault,assault offenses,persons,2018-01-05T06:50:00Z,-87.670049,42.008309,residence,residence,1.7031E+14
5061473,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-01-05T14:30:00Z,-87.668442,41.983492,street,street,1.7031E+14
5061524,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-05T16:00:00Z,-87.746046,41.906462,private vehicle,vehicle,1.70318E+14
5061538,Chicago,12A,personal robbery,robbery,property,2018-01-05T16:15:00Z,-87.696283,41.992214,street,street,1.7031E+14
5061546,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-05T16:32:00Z,-87.766213,41.785314,other,other,1.70316E+14
5061707,Chicago,23D,theft from building,larceny/theft offenses,property,2018-01-05T21:00:00Z,-87.655112,41.759577,residence,residence,1.70317E+14
5061711,Chicago,26A,false pretenses,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-01-05T21:00:00Z,-87.630467,41.775408,street,street,1.70317E+14
5061808,Chicago,13B,simple assault,assault offenses,persons,2018-01-05T23:35:00Z,-87.721982,41.900884,residence,residence,1.70312E+14
5061840,Chicago,12A,personal robbery,robbery,property,2018-01-06T00:29:00Z,-87.673919,41.899605,street,street,1.70312E+14
5061842,Chicago,13B,simple assault,assault offenses,persons,2018-01-06T00:30:00Z,-87.614075,41.76661,street,street,1.70317E+14
5061912,Chicago,23D,theft from building,larceny/theft offenses,property,2018-01-06T02:50:00Z,-87.622233,41.85068,office,commercial,1.70318E+14
5062128,Chicago,90Z,all other offenses,all other offenses,other,2018-01-06T14:27:00Z,-87.782882,41.912814,other,other,1.70313E+14
5062147,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-01-06T15:30:00Z,-87.714478,41.994759,other,other,1.70311E+14
5062172,Chicago,13B,simple assault,assault offenses,persons,2018-01-06T16:15:00Z,-87.685222,41.779235,street,street,1.70317E+14
5062174,Chicago,12A,personal robbery,robbery,property,2018-01-06T16:15:00Z,-87.694317,41.87199,residence,residence,1.70318E+14
5062210,Chicago,13B,simple assault,assault offenses,persons,2018-01-06T17:30:00Z,-87.617752,41.67575,residence,residence,1.70315E+14
5062243,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-01-06T18:50:00Z,-87.627813,41.750897,other retail,retail,1.70317E+14
5062281,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-06T19:56:00Z,-87.596939,41.816201,residence,residence,1.70314E+14
5062350,Chicago,13A,aggravated assault,assault offenses,persons,2018-01-06T21:45:00Z,-87.790217,41.979778,residence,residence,1.70311E+14
5062382,Chicago,12B,commercial robbery,robbery,property,2018-01-06T22:33:00Z,-87.675285,42.016525,bar/club,leisure,1.7031E+14
5062467,Chicago,13B,simple assault,assault offenses,persons,2018-01-07T01:10:00Z,-87.689621,41.774534,residence,residence,1.70317E+14
5062580,Chicago,12B,commercial robbery,robbery,property,2018-01-07T05:26:00Z,-87.719745,41.873281,gas station,retail,1.70313E+14
5062588,Chicago,290,destruction of property,destruction of property,property,2018-01-07T05:40:00Z,-87.63159,41.884475,government,government,1.70318E+14
5062758,Chicago,13B,simple assault,assault offenses,persons,2018-01-07T16:16:00Z,-87.729191,41.907272,other,other,1.70312E+14
5062791,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-01-07T17:30:00Z,-87.571779,41.725527,residence,residence,1.70315E+14
5062830,Chicago,290,destruction of property,destruction of property,property,2018-01-07T19:10:00Z,-87.606722,41.817517,residence,residence,1.70318E+14
5063045,Chicago,12A,personal robbery,robbery,property,2018-01-08T02:40:00Z,-87.693529,41.784128,street,street,1.70318E+14
5063089,Chicago,290,destruction of property,destruction of property,property,2018-01-08T05:00:00Z,-87.654007,41.921731,college,education,1.70311E+14
5063200,Chicago,23D,theft from building,larceny/theft offenses,property,2018-01-08T13:45:00Z,-87.601228,41.79614,residence,residence,1.70314E+14
5063376,Chicago,12B,commercial robbery,robbery,property,2018-01-08T18:53:00Z,-87.626539,41.721689,supermarket,retail,1.70315E+14
5063400,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-08T19:30:00Z,-87.706567,41.895878,restaurant,leisure,1.70318E+14
5063534,Chicago,290,destruction of property,destruction of property,property,2018-01-08T22:50:00Z,-87.766071,41.945885,residence,residence,1.70312E+14
5063665,Chicago,23A,pocket-picking,larceny/theft offenses,property,2018-01-09T03:00:00Z,-87.671895,42.02162,residence,residence,1.7031E+14
5063681,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-01-09T03:44:00Z,-87.750927,41.904602,street,street,1.70313E+14
5063940,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-01-09T17:48:00Z,-87.741529,41.754593,other retail,retail,1.70317E+14
5063965,Chicago,23H,other theft,larceny/theft offenses,property,2018-01-09T18:50:00Z,-87.625822,41.867014,gas station,retail,1.70313E+14
