zcta,Total,Householder who is White alone,Householder who is Black or African American alone,Householder who is American Indian and Alaska Native alone,Householder who is Asian alone,Householder who is Native Hawaiian and Other Pacific Islander alone,Householder who is Some Other Race alone,Householder who is Two or More Races
10032,20228,6131,5377,240,793,14,6177,1496
14774,46,46,0,0,0,0,0,0
12740,800,770,9,2,2,0,8,9
12832,2750,2697,11,12,5,0,3,22
13602,117,77,21,1,5,1,7,5
14853,0,0,0,0,0,0,0,0
11106,17101,10700,1396,72,2736,7,1556,634
12924,65,64,1,0,0,0,0,0
11213,23142,3391,18086,100,186,10,768,601
13634,1546,1513,8,7,4,1,2,11
13656,991,959,9,3,0,3,1,16
13490,519,511,4,0,2,0,0,2
12472,716,673,12,1,7,0,8,15
12777,336,315,7,2,1,1,6,4
13460,1784,1752,5,5,7,0,3,12
13337,335,329,1,1,1,0,0,3
14860,437,426,1,1,3,0,3,3
13696,43,41,0,0,1,0,0,1
11765,273,249,5,0,16,0,3,0
12594,1506,1311,91,2,19,0,59,24
13211,2677,2490,96,24,15,0,21,31
14467,3663,3226,237,9,128,0,22,41
13206,7835,6485,933,71,90,0,79,177
14611,6711,1670,4536,35,71,3,198,198
13301,54,53,0,0,1,0,0,0
11365,15463,7511,1602,32,5230,7,666,415
11724,1013,988,0,0,16,0,5,4
11937,5805,5177,156,24,70,2,324,52
11375,32547,22839,1051,51,7022,10,888,686
13756,249,245,2,0,1,0,0,1
14810,5153,4958,111,9,18,0,14,43
11763,9185,7685,787,31,204,1,341,136
12210,5180,2673,2056,13,146,3,125,164
14885,303,301,1,0,1,0,0,0
12816,1902,1865,12,3,5,0,2,15
12917,536,526,3,1,1,0,0,5
14420,7215,6830,171,25,64,3,57,65
12760,224,213,6,0,2,0,0,3
11005,1362,1334,12,0,11,0,1,4
11217,16269,10293,3435,65,1045,5,817,609
14432,2233,2175,17,3,5,1,16,16
12477,7905,7525,125,22,70,0,40,123
12792,139,133,0,0,1,0,3,2
13621,258,254,0,2,1,0,0,1
12515,571,521,24,2,8,0,7,9
14507,536,528,4,1,0,0,0,3
10516,2165,2069,13,5,25,1,29,23
13812,918,910,4,0,1,0,1,2
11715,1687,1640,9,4,10,0,15,9
12015,1291,1248,17,2,10,1,7,6
12306,10744,10134,256,23,97,7,117,110
12409,406,392,2,0,5,0,4,3
14456,7816,6793,544,22,85,1,242,129
14817,1005,962,8,2,6,1,5,21
10006,1791,1240,89,1,360,0,60,41
10463,28408,16159,4745,182,1112,12,5025,1173
12157,1708,1685,3,1,4,0,4,11
13319,424,414,5,1,3,0,1,0
14427,792,784,1,2,1,0,0,4
12066,862,845,5,1,0,0,2,9
12873,330,322,3,1,0,0,1,3
13035,3168,3124,9,8,11,0,4,12
13364,92,92,0,0,0,0,0,0
13041,3830,3513,163,27,79,2,16,30
14873,1012,985,7,4,2,0,4,10
11931,70,68,0,0,0,0,1,1
12956,482,477,1,0,0,0,0,4
13339,2603,2552,7,8,10,0,9,17
14722,92,91,0,0,1,0,0,0
12861,259,258,0,0,0,0,0,1
10308,10142,9620,44,14,242,4,132,86
12912,848,830,2,2,0,0,0,14
13111,629,616,0,5,1,0,1,6
13476,1236,1207,9,2,6,0,2,10
12742,79,70,5,0,0,0,4,0
12962,2172,2130,16,2,7,0,3,14
13032,5147,5023,29,38,11,0,9,37
13757,438,426,4,5,1,0,1,1
12723,674,647,15,1,2,0,5,4
14757,1376,1363,3,2,1,0,1,6
10578,238,224,2,0,6,1,3,2
12160,368,359,1,1,0,0,0,7
10522,3901,3283,193,1,282,2,87,53
14891,1821,1779,6,11,4,0,5,16
10930,2846,2429,162,5,122,2,89,37
10007,2840,2322,74,3,376,1,23,41
12180,21558,17499,2651,65,556,4,383,400
12918,937,927,1,4,0,0,0,5
12992,1866,1837,10,4,3,1,3,8
13402,618,610,2,1,1,1,0,3
13431,773,763,1,3,0,0,0,6
14534,11932,10926,216,12,675,1,20,82
11581,7023,5289,775,7,597,1,223,131
11784,8009,7166,233,12,287,4,185,122
13078,3572,3250,80,26,177,0,7,32
13365,3685,3609,19,7,17,3,7,23
13404,87,87,0,0,0,0,0,0
13141,245,242,0,2,1,0,0,0
13494,146,141,0,3,0,0,1,1
14743,715,705,5,0,0,0,0,5
11103,16890,12618,314,58,1943,11,1418,528
11576,4429,3762,40,2,533,0,33,59
13780,413,403,2,2,0,0,4,2
11758,18314,16957,770,17,281,3,158,128
13345,67,67,0,0,0,0,0,0
14850,24786,19997,1129,77,2738,8,265,572
12836,265,263,0,0,0,0,0,2
11733,6076,5537,76,11,382,0,27,43
12801,6548,6288,106,18,36,0,15,85
11520,13398,6285,4589,77,186,5,1709,547
12455,904,865,4,4,14,0,10,7
10177,0,0,0,0,0,0,0,0
13904,3941,3604,202,19,36,1,34,45
12504,31,28,0,0,3,0,0,0
12827,1479,1455,2,3,1,0,7,11
13081,461,450,0,1,0,1,4,5
10466,23318,2583,17170,165,482,17,2140,761
11789,2829,2723,23,5,40,0,16,22
14006,4063,3951,20,52,2,1,11,26
13028,533,527,1,2,0,0,1,2
13787,1381,1361,3,2,3,0,0,12
14812,1309,1279,5,8,4,0,0,13
11545,4111,3758,38,3,224,1,44,43
12935,630,622,1,2,1,0,0,4
14065,694,687,1,2,0,0,1,3
10579,3073,2922,41,2,43,0,26,39
10517,202,175,6,1,9,0,9,2
12565,607,579,7,1,4,0,1,15
12446,2038,1916,42,10,14,1,20,35
13630,549,545,2,0,0,0,0,2
12884,177,171,0,1,0,0,1,4
10510,3420,3100,53,5,208,2,22,30
13746,990,961,4,5,2,0,2,16
14487,2352,2327,9,5,2,0,3,6
10956,10344,8652,527,8,865,0,164,128
13461,1330,1313,3,3,9,0,0,2
10533,2780,2502,38,2,187,0,25,26
10964,552,478,7,1,59,0,3,4
12850,1074,1048,6,0,2,0,0,18
11976,658,633,5,0,5,0,8,7
12058,584,570,4,1,3,0,0,6
13219,6549,6307,114,28,41,1,18,40
14441,124,121,0,0,1,0,0,2
11596,3676,3211,28,2,370,2,27,36
10541,8907,8430,122,8,131,0,139,77
14479,99,98,0,0,0,0,0,1
11451,0,0,0,0,0,0,0,0
14005,714,704,0,1,2,0,5,2
13903,7997,7124,509,23,142,2,65,132
12843,241,240,1,0,0,0,0,0
14783,130,56,0,74,0,0,0,0
11575,4055,415,2980,22,21,1,442,174
12086,762,741,4,2,0,0,10,5
12871,1589,1545,12,6,3,0,15,8
12993,719,707,1,1,2,0,1,7
13136,211,210,0,0,0,0,0,1
10025,44432,30581,6152,156,3309,18,2687,1529
13155,248,243,1,2,0,0,1,1
